transaction_id,item_name,date,time,period,purchase_cost,branch_location
TXN100055,Badam Milk,2024-10-11,15:00:06,Afternoon,200.43,Jayanagar
TXN100056,Samosa,2024-12-06,17:06:50,Evening,22.0,Malleswaram
TXN100057,Chiroti,2025-03-21,18:16:08,Evening,159.67,RR Nagar
TXN100058,Chiroti,2024-04-19,08:12:18,Morning,364.97,Basavanagudi
TXN100059,Halwa (Assorted),2024-08-12,11:27:31,Morning,215.81,HSR Layout
TXN100060,Mysore Pak,2024-11-27,15:43:36,Afternoon,873.89,Malleswaram
TXN100061,Sohan Papdi,2024-04-18,20:09:12,Evening,451.55,Koramangala
TXN100062,Mysore Pak,2024-01-21,22:50:06,Night,609.14,Indiranagar
TXN100063,Mysore Pak,2024-09-26,09:51:48,Morning,330.5,Indiranagar
TXN100064,Chiroti,2024-03-09,12:19:49,Afternoon,113.47,RR Nagar
TXN100065,Pista Roll,2024-07-25,22:34:45,Night,1031.1,RR Nagar
TXN100066,Kaju Katli,2024-08-20,09:10:12,Morning,807.76,Koramangala
TXN100067,Mysore Pak,2024-03-22,09:52:45,Morning,254.66,Malleswaram
TXN100068,Kaju Katli,2024-03-09,10:38:08,Morning,401.17,Malleswaram
TXN100069,Mysore Pak,2024-08-28,22:57:09,Night,497.71,HSR Layout
TXN100070,Milk Burfi,2025-07-11,13:26:29,Afternoon,562.02,Indiranagar
TXN100071,Badam Milk,2024-03-23,15:16:10,Afternoon,168.68,Electronic City
TXN100072,Laddoo (Boondi),2024-06-26,18:20:39,Evening,183.42,Vijayanagar
TXN100073,Samosa,2025-06-22,16:54:41,Afternoon,58.19,Indiranagar
TXN100074,Sohan Papdi,2024-03-11,18:38:17,Evening,286.39,Jayanagar
TXN100075,Chiroti,2025-01-05,19:26:10,Evening,119.35,RR Nagar
TXN100076,Halwa (Assorted),2024-05-22,12:46:03,Afternoon,214.69,Indiranagar
TXN100077,Halwa (Assorted),2024-01-28,10:22:06,Morning,321.35,Malleswaram
TXN100078,Samosa,2024-01-24,19:46:08,Evening,39.1,Electronic City
TXN100079,Mysore Pak,2024-01-24,22:11:23,Night,1185.84,Malleswaram
TXN100080,Milk Burfi,2024-05-19,10:44:35,Morning,207.32,Malleswaram
TXN100081,Samosa,2024-03-14,14:58:16,Afternoon,41.68,RR Nagar
TXN100082,Rasgulla,2024-09-21,17:35:46,Evening,33.27,Indiranagar
TXN100083,Laddoo (Boondi),2025-05-10,19:26:42,Evening,220.34,HSR Layout
TXN100084,Milk Burfi,2024-09-22,19:39:07,Evening,997.4,RR Nagar
TXN100085,Sohan Papdi,2024-07-25,17:57:00,Evening,438.61,Jayanagar
TXN100086,Rasgulla,2024-04-18,17:34:33,Evening,27.81,RR Nagar
TXN100087,Gulab Jamun,2024-08-16,15:15:43,Afternoon,117.76,Vijayanagar
TXN100088,Kaju Katli,2025-04-15,21:17:00,Evening,1367.32,Jayanagar
TXN100089,Dharwad Peda,2024-12-07,12:01:57,Afternoon,721.29,Basavanagudi
TXN100090,Chiroti,2024-11-12,16:44:41,Afternoon,200.71,Jayanagar
TXN100091,Kesar Peda,2025-03-09,21:49:23,Evening,672.1,Basavanagudi
TXN100092,Pista Roll,2025-02-20,12:22:38,Afternoon,676.16,RR Nagar
TXN100093,Milk Burfi,2024-05-06,08:21:39,Morning,346.83,Jayanagar
TXN100094,Laddoo (Boondi),2024-02-16,21:04:01,Evening,577.17,Malleswaram
TXN100095,Pista Roll,2025-01-14,13:12:54,Afternoon,1001.92,Koramangala
TXN100096,Gulab Jamun,2025-02-03,21:06:44,Evening,105.84,Koramangala
TXN100097,Gulab Jamun,2025-01-15,13:26:57,Afternoon,137.59,RR Nagar
TXN100098,Samosa,2024-07-05,17:54:07,Evening,89.27,Malleswaram
TXN100099,Laddoo (Boondi),2024-04-01,22:27:05,Night,703.33,Vijayanagar
TXN100100,Mysore Pak,2024-06-12,15:07:15,Afternoon,976.82,RR Nagar
TXN100101,Kaju Katli,2025-02-07,14:03:39,Afternoon,482.89,Electronic City
TXN100102,Kesar Peda,2024-11-19,19:54:47,Evening,1067.86,Koramangala
TXN100103,Pista Roll,2025-05-27,18:30:19,Evening,1613.42,HSR Layout
TXN100104,Rasgulla,2024-09-30,22:03:21,Night,58.19,Indiranagar
TXN100105,Samosa,2024-08-26,09:15:56,Morning,33.45,Jayanagar
TXN100106,Jalebi,2024-03-30,08:39:36,Morning,329.61,Basavanagudi
TXN100107,Dharwad Peda,2024-11-19,21:36:32,Evening,1094.25,Jayanagar
TXN100108,Sohan Papdi,2024-12-01,11:53:46,Morning,822.5,Jayanagar
TXN100109,Kesar Peda,2024-04-03,22:13:42,Night,326.18,Vijayanagar
TXN100110,Kaju Katli,2025-06-28,17:39:51,Evening,1178.77,Malleswaram
TXN100111,Dharwad Peda,2024-05-20,17:02:27,Evening,959.53,Malleswaram
TXN100112,Pista Roll,2024-09-11,09:59:37,Morning,690.56,Basavanagudi
TXN100113,Samosa,2024-03-21,15:43:42,Afternoon,49.96,Koramangala
TXN100114,Laddoo (Boondi),2025-06-13,22:00:01,Night,763.86,Jayanagar
TXN100115,Sohan Papdi,2024-05-11,08:03:38,Morning,696.97,Jayanagar
TXN100116,Rasgulla,2025-03-06,12:23:41,Afternoon,49.09,Jayanagar
TXN100117,Gulab Jamun,2024-03-27,18:49:43,Evening,137.61,Koramangala
TXN100118,Halwa (Assorted),2024-11-11,12:47:11,Afternoon,821.29,Indiranagar
TXN100119,Jalebi,2025-01-06,16:18:52,Afternoon,320.31,HSR Layout
TXN100120,Rasgulla,2024-10-12,21:09:39,Evening,110.96,RR Nagar
TXN100121,Milk Burfi,2024-10-09,21:28:50,Evening,569.42,Vijayanagar
TXN100122,Kaju Katli,2025-05-18,19:34:57,Evening,1325.72,Malleswaram
TXN100123,Sohan Papdi,2024-04-23,15:22:10,Afternoon,489.28,HSR Layout
TXN100124,Samosa,2024-11-21,21:39:54,Evening,78.69,Basavanagudi
TXN100125,Kesar Peda,2024-01-16,20:37:20,Evening,1114.37,Electronic City
TXN100126,Kesar Peda,2025-04-07,17:52:57,Evening,1022.48,Koramangala
TXN100127,Dharwad Peda,2024-08-08,15:21:10,Afternoon,1107.48,Jayanagar
TXN100128,Sohan Papdi,2024-09-10,19:29:08,Evening,294.2,Jayanagar
TXN100129,Sohan Papdi,2024-07-01,16:36:07,Afternoon,157.7,Electronic City
TXN100130,Kesar Peda,2025-04-13,11:58:09,Morning,518.8,HSR Layout
TXN100131,Chiroti,2025-03-29,13:21:22,Afternoon,271.54,Basavanagudi
TXN100132,Dharwad Peda,2024-04-25,13:05:49,Afternoon,368.63,Koramangala
TXN100133,Chiroti,2024-08-31,09:10:24,Morning,385.32,Koramangala
TXN100134,Gulab Jamun,2025-07-07,09:33:29,Morning,148.17,Koramangala
TXN100135,Pista Roll,2024-09-18,14:53:13,Afternoon,2191.7,Basavanagudi
TXN100136,Halwa (Assorted),2024-11-19,14:47:53,Afternoon,809.1,Malleswaram
TXN100137,Rasgulla,2024-11-08,19:30:42,Evening,147.5,Vijayanagar
TXN100138,Samosa,2025-04-26,17:26:35,Evening,51.9,Vijayanagar
TXN100139,Pista Roll,2024-04-10,21:48:23,Evening,1256.56,RR Nagar
TXN100140,Badam Milk,2025-04-08,16:16:58,Afternoon,42.28,Koramangala
TXN100141,Kaju Katli,2024-08-28,12:08:23,Afternoon,849.06,Jayanagar
TXN100142,Halwa (Assorted),2024-12-28,19:58:54,Evening,780.73,Jayanagar
TXN100143,Sohan Papdi,2024-03-17,12:24:10,Afternoon,421.24,Vijayanagar
TXN100144,Milk Burfi,2024-11-29,15:06:46,Afternoon,438.38,Vijayanagar
TXN100145,Kaju Katli,2024-05-11,14:34:48,Afternoon,2212.4,Electronic City
TXN100146,Chiroti,2025-03-02,11:50:33,Morning,183.94,RR Nagar
TXN100147,Dharwad Peda,2024-03-03,09:29:24,Morning,501.79,RR Nagar
TXN100148,Samosa,2024-04-08,14:52:41,Afternoon,22.03,Koramangala
TXN100149,Halwa (Assorted),2025-01-13,09:55:01,Morning,730.51,RR Nagar
TXN100150,Laddoo (Boondi),2025-05-03,18:24:29,Evening,647.96,Koramangala
TXN100151,Gulab Jamun,2024-05-07,12:56:05,Afternoon,80.04,HSR Layout
TXN100152,Dharwad Peda,2024-07-18,18:00:52,Evening,767.93,Koramangala
TXN100153,Laddoo (Boondi),2025-05-11,16:25:46,Afternoon,157.25,Malleswaram
TXN100154,Badam Milk,2025-01-22,16:49:15,Afternoon,123.77,Vijayanagar
TXN100155,Laddoo (Boondi),2024-11-07,16:41:54,Afternoon,747.9,RR Nagar
TXN100156,Kaju Katli,2025-03-01,16:38:12,Afternoon,548.92,Malleswaram
TXN100157,Halwa (Assorted),2024-07-04,11:37:32,Morning,274.77,Jayanagar
TXN100158,Halwa (Assorted),2024-12-27,21:36:18,Evening,653.04,Koramangala
TXN100159,Laddoo (Boondi),2025-01-24,16:28:00,Afternoon,201.94,Koramangala
TXN100160,Pista Roll,2024-11-16,20:12:12,Evening,2114.72,RR Nagar
TXN100161,Chiroti,2024-08-10,09:44:56,Morning,399.72,Jayanagar
TXN100162,Chiroti,2025-03-29,20:46:20,Evening,111.88,Indiranagar
TXN100163,Halwa (Assorted),2024-12-25,21:22:21,Evening,914.76,Koramangala
TXN100164,Badam Milk,2024-11-08,12:02:59,Afternoon,88.66,Vijayanagar
TXN100165,Dharwad Peda,2024-08-17,21:15:42,Evening,313.32,Basavanagudi
TXN100166,Laddoo (Boondi),2024-12-16,15:04:12,Afternoon,499.84,Malleswaram
TXN100167,Laddoo (Boondi),2024-04-24,09:50:00,Morning,345.46,RR Nagar
TXN100168,Pista Roll,2024-09-13,13:44:23,Afternoon,1732.47,HSR Layout
TXN100169,Milk Burfi,2024-10-22,08:42:19,Morning,731.5,RR Nagar
TXN100170,Samosa,2024-05-02,22:45:06,Night,43.82,Indiranagar
TXN100171,Kaju Katli,2024-06-14,12:36:34,Afternoon,1605.64,Vijayanagar
TXN100172,Pista Roll,2024-11-14,22:49:39,Night,2189.65,Basavanagudi
TXN100173,Mysore Pak,2024-01-16,10:03:40,Morning,662.87,HSR Layout
TXN100174,Badam Milk,2024-12-20,14:48:40,Afternoon,69.26,Jayanagar
TXN100175,Pista Roll,2024-05-08,12:04:17,Afternoon,1658.06,Vijayanagar
TXN100176,Milk Burfi,2024-05-17,14:37:19,Afternoon,955.24,Vijayanagar
TXN100177,Jalebi,2025-05-25,17:48:04,Evening,456.21,Basavanagudi
TXN100178,Pista Roll,2024-04-29,10:49:24,Morning,1370.82,Jayanagar
TXN100179,Sohan Papdi,2024-12-30,12:32:30,Afternoon,422.55,Basavanagudi
TXN100180,Kaju Katli,2024-03-16,08:36:36,Morning,1061.2,Electronic City
TXN100181,Halwa (Assorted),2024-01-28,17:34:49,Evening,886.98,HSR Layout
TXN100182,Halwa (Assorted),2024-06-20,11:38:15,Morning,311.3,Electronic City
TXN100183,Pista Roll,2024-05-15,10:32:03,Morning,1186.77,Malleswaram
TXN100184,Gulab Jamun,2024-11-13,21:17:23,Evening,72.25,Electronic City
TXN100185,Gulab Jamun,2025-05-19,13:54:03,Afternoon,90.58,Malleswaram
TXN100186,Milk Burfi,2024-12-30,15:05:29,Afternoon,763.49,RR Nagar
TXN100187,Kaju Katli,2024-07-22,13:32:07,Afternoon,859.98,Vijayanagar
TXN100188,Pista Roll,2024-07-22,08:04:32,Morning,1168.09,Indiranagar
TXN100189,Mysore Pak,2024-11-24,20:27:00,Evening,451.98,Vijayanagar
TXN100190,Rasgulla,2024-06-18,14:54:50,Afternoon,28.01,RR Nagar
TXN100191,Samosa,2025-03-11,17:08:23,Evening,63.39,Electronic City
TXN100192,Pista Roll,2024-05-25,14:16:33,Afternoon,2210.21,Jayanagar
TXN100193,Halwa (Assorted),2025-02-11,19:28:51,Evening,526.53,HSR Layout
TXN100194,Badam Milk,2024-05-01,12:29:46,Afternoon,156.93,HSR Layout
TXN100195,Pista Roll,2024-10-31,11:40:32,Morning,377.97,RR Nagar
TXN100196,Laddoo (Boondi),2024-01-20,13:26:24,Afternoon,368.87,Malleswaram
TXN100197,Samosa,2024-09-01,18:13:11,Evening,56.2,Vijayanagar
TXN100198,Kesar Peda,2025-07-04,11:49:58,Morning,793.54,HSR Layout
TXN100199,Badam Milk,2024-07-16,11:02:36,Morning,239.28,Jayanagar
TXN100200,Milk Burfi,2024-08-26,11:21:28,Morning,668.08,Vijayanagar
TXN100201,Milk Burfi,2025-06-05,16:06:27,Afternoon,1063.51,Vijayanagar
TXN100202,Rasgulla,2024-09-02,11:48:52,Morning,42.12,Vijayanagar
TXN100203,Halwa (Assorted),2024-05-11,16:47:25,Afternoon,990.06,Jayanagar
TXN100204,Gulab Jamun,2024-02-29,17:27:23,Evening,137.08,Indiranagar
TXN100205,Milk Burfi,2024-10-12,09:10:28,Morning,848.77,Vijayanagar
TXN100206,Sohan Papdi,2024-02-18,16:11:19,Afternoon,404.91,Koramangala
TXN100207,Badam Milk,2024-02-11,20:58:12,Evening,75.58,Vijayanagar
TXN100208,Badam Milk,2024-04-08,11:10:00,Morning,129.84,Koramangala
TXN100209,Laddoo (Boondi),2025-05-11,20:53:48,Evening,445.54,Electronic City
TXN100210,Chiroti,2024-07-15,13:36:28,Afternoon,405.94,Basavanagudi
TXN100211,Chiroti,2024-05-03,16:31:56,Afternoon,173.02,Malleswaram
TXN100212,Rasgulla,2024-03-09,16:52:53,Afternoon,56.5,RR Nagar
TXN100213,Chiroti,2025-01-23,09:56:36,Morning,96.57,RR Nagar
TXN100214,Kesar Peda,2024-02-10,20:30:16,Evening,1408.11,Jayanagar
TXN100215,Chiroti,2024-11-27,13:00:17,Afternoon,132.17,Indiranagar
TXN100216,Gulab Jamun,2025-02-12,10:19:33,Morning,85.38,Electronic City
TXN100217,Milk Burfi,2024-06-05,19:36:56,Evening,577.5,HSR Layout
TXN100218,Samosa,2025-06-13,16:18:33,Afternoon,38.25,Jayanagar
TXN100219,Dharwad Peda,2024-04-13,10:52:37,Morning,1184.68,Basavanagudi
TXN100220,Dharwad Peda,2024-01-25,09:16:01,Morning,1339.04,Indiranagar
TXN100221,Gulab Jamun,2024-05-13,22:10:03,Night,126.81,RR Nagar
TXN100222,Jalebi,2024-06-13,13:27:34,Afternoon,704.1,RR Nagar
TXN100223,Dharwad Peda,2025-03-08,13:42:10,Afternoon,454.39,Basavanagudi
TXN100224,Mysore Pak,2025-06-16,11:00:22,Morning,282.94,Malleswaram
TXN100225,Badam Milk,2024-04-08,16:44:52,Afternoon,151.73,Jayanagar
TXN100226,Pista Roll,2025-07-03,16:26:08,Afternoon,2031.28,Jayanagar
TXN100227,Chiroti,2025-01-26,08:02:55,Morning,187.42,Basavanagudi
TXN100228,Jalebi,2024-11-23,10:24:44,Morning,239.2,Electronic City
TXN100229,Badam Milk,2024-12-06,14:02:32,Afternoon,70.72,Malleswaram
TXN100230,Laddoo (Boondi),2024-02-26,14:32:15,Afternoon,171.5,RR Nagar
TXN100231,Halwa (Assorted),2024-04-20,13:35:54,Afternoon,336.83,Basavanagudi
TXN100232,Kesar Peda,2025-03-23,13:26:26,Afternoon,970.85,Electronic City
TXN100233,Kesar Peda,2024-07-27,14:14:25,Afternoon,1345.53,Koramangala
TXN100234,Pista Roll,2025-06-06,10:39:56,Morning,1534.87,Vijayanagar
TXN100235,Milk Burfi,2024-08-11,10:45:11,Morning,410.98,RR Nagar
TXN100236,Badam Milk,2025-03-23,20:43:14,Evening,239.87,Jayanagar
TXN100237,Pista Roll,2024-09-26,15:07:13,Afternoon,1778.81,Indiranagar
TXN100238,Jalebi,2024-11-23,09:45:11,Morning,743.05,Koramangala
TXN100239,Badam Milk,2025-02-06,18:00:29,Evening,180.1,HSR Layout
TXN100240,Mysore Pak,2024-06-05,21:32:22,Evening,1046.04,Jayanagar
TXN100241,Gulab Jamun,2024-12-07,18:57:39,Evening,66.26,Vijayanagar
TXN100242,Halwa (Assorted),2024-06-03,22:13:24,Night,522.62,Basavanagudi
TXN100243,Samosa,2024-05-05,16:09:26,Afternoon,58.37,Malleswaram
TXN100244,Rasgulla,2024-10-13,19:11:06,Evening,153.5,Vijayanagar
TXN100245,Chiroti,2024-10-19,16:18:08,Afternoon,311.59,RR Nagar
TXN100246,Gulab Jamun,2024-08-29,10:06:41,Morning,135.07,Koramangala
TXN100247,Badam Milk,2024-02-05,14:54:18,Afternoon,172.96,Electronic City
TXN100248,Chiroti,2025-05-18,18:10:24,Evening,245.03,HSR Layout
TXN100249,Jalebi,2025-03-14,08:21:27,Morning,625.88,Malleswaram
TXN100250,Gulab Jamun,2025-06-18,15:35:37,Afternoon,96.07,Vijayanagar
TXN100251,Sohan Papdi,2024-05-27,16:07:20,Afternoon,479.96,Jayanagar
TXN100252,Gulab Jamun,2024-04-14,10:37:42,Morning,125.92,RR Nagar
TXN100253,Sohan Papdi,2024-11-22,11:13:23,Morning,282.96,Malleswaram
TXN100254,Milk Burfi,2024-05-23,18:26:42,Evening,726.07,Koramangala
TXN100255,Milk Burfi,2025-05-23,12:55:14,Afternoon,285.39,Jayanagar
TXN100256,Badam Milk,2024-01-19,15:05:01,Afternoon,160.63,Koramangala
TXN100257,Dharwad Peda,2024-07-17,12:42:55,Afternoon,1286.09,HSR Layout
TXN100258,Gulab Jamun,2024-10-12,09:00:04,Morning,55.07,Malleswaram
TXN100259,Sohan Papdi,2024-06-10,19:03:19,Evening,676.14,Indiranagar
TXN100260,Kaju Katli,2024-10-19,17:24:45,Evening,2381.48,Electronic City
TXN100261,Kaju Katli,2024-06-10,22:42:22,Night,465.47,Indiranagar
TXN100262,Badam Milk,2025-03-26,13:18:12,Afternoon,91.95,Vijayanagar
TXN100263,Gulab Jamun,2024-07-12,14:38:20,Afternoon,83.78,Basavanagudi
TXN100264,Chiroti,2024-03-24,14:28:19,Afternoon,260.87,Indiranagar
TXN100265,Jalebi,2024-01-26,12:24:54,Afternoon,623.1,Basavanagudi
TXN100266,Pista Roll,2025-06-16,11:58:47,Morning,2017.71,Koramangala
TXN100267,Dharwad Peda,2025-01-16,08:52:44,Morning,279.46,RR Nagar
TXN100268,Chiroti,2025-04-27,19:51:56,Evening,160.39,Malleswaram
TXN100269,Dharwad Peda,2024-09-17,17:34:26,Evening,396.75,Jayanagar
TXN100270,Mysore Pak,2024-01-31,22:20:16,Night,242.03,Electronic City
TXN100271,Jalebi,2024-04-17,17:47:07,Evening,141.86,Malleswaram
TXN100272,Badam Milk,2024-03-29,12:28:47,Afternoon,171.29,HSR Layout
TXN100273,Kesar Peda,2024-04-12,19:30:21,Evening,509.95,Vijayanagar
TXN100274,Samosa,2024-08-08,19:28:15,Evening,28.45,RR Nagar
TXN100275,Pista Roll,2025-05-25,12:54:14,Afternoon,810.72,HSR Layout
TXN100276,Samosa,2024-03-15,18:58:08,Evening,64.71,Koramangala
TXN100277,Samosa,2025-05-09,15:21:10,Afternoon,70.23,Jayanagar
TXN100278,Pista Roll,2024-10-18,17:43:20,Evening,938.05,Malleswaram
TXN100279,Sohan Papdi,2024-08-22,10:29:31,Morning,751.6,Malleswaram
TXN100280,Sohan Papdi,2024-06-02,13:32:19,Afternoon,652.51,Jayanagar
TXN100281,Kaju Katli,2024-03-23,15:27:46,Afternoon,877.34,Jayanagar
TXN100282,Badam Milk,2024-03-29,11:58:58,Morning,191.4,Koramangala
TXN100283,Gulab Jamun,2024-12-02,15:03:14,Afternoon,62.85,Basavanagudi
TXN100284,Rasgulla,2024-08-03,12:39:19,Afternoon,33.09,Basavanagudi
TXN100285,Halwa (Assorted),2024-07-21,08:52:27,Morning,978.5,Electronic City
TXN100286,Halwa (Assorted),2025-02-26,10:09:20,Morning,892.16,Electronic City
TXN100287,Kesar Peda,2024-09-07,14:51:09,Afternoon,562.65,Basavanagudi
TXN100288,Samosa,2024-09-07,12:06:33,Afternoon,50.77,Malleswaram
TXN100289,Laddoo (Boondi),2024-03-09,18:10:30,Evening,221.7,HSR Layout
TXN100290,Rasgulla,2025-05-08,17:35:53,Evening,93.25,Indiranagar
TXN100291,Milk Burfi,2025-02-20,16:19:23,Afternoon,1101.03,Koramangala
TXN100292,Milk Burfi,2024-09-21,12:39:34,Afternoon,546.46,Malleswaram
TXN100293,Badam Milk,2025-01-07,08:35:15,Morning,222.69,Malleswaram
TXN100294,Chiroti,2025-07-11,13:41:21,Afternoon,119.31,Jayanagar
TXN100295,Samosa,2024-06-24,15:45:26,Afternoon,51.84,Indiranagar
TXN100296,Laddoo (Boondi),2024-08-13,19:45:17,Evening,205.32,Malleswaram
TXN100297,Pista Roll,2025-06-27,12:30:42,Afternoon,884.93,RR Nagar
TXN100298,Gulab Jamun,2025-01-19,21:39:10,Evening,31.03,RR Nagar
TXN100299,Halwa (Assorted),2025-04-13,18:56:54,Evening,886.86,Malleswaram
TXN100300,Rasgulla,2024-02-09,10:07:37,Morning,116.45,Koramangala
TXN100301,Pista Roll,2024-08-13,18:37:21,Evening,1633.56,Electronic City
TXN100302,Halwa (Assorted),2024-07-13,18:33:30,Evening,498.67,Vijayanagar
TXN100303,Badam Milk,2024-06-30,15:29:31,Afternoon,201.24,Electronic City
TXN100304,Mysore Pak,2024-01-20,08:01:12,Morning,1072.92,Koramangala
TXN100305,Chiroti,2024-12-18,08:32:26,Morning,396.52,Electronic City
TXN100306,Laddoo (Boondi),2025-02-03,09:23:52,Morning,561.8,Malleswaram
TXN100307,Dharwad Peda,2024-02-05,22:09:53,Night,587.66,Malleswaram
TXN100308,Samosa,2024-11-21,08:44:40,Morning,24.78,Basavanagudi
TXN100309,Kesar Peda,2024-01-27,10:41:58,Morning,896.37,Koramangala
TXN100310,Mysore Pak,2025-02-04,19:18:36,Evening,621.51,Jayanagar
TXN100311,Milk Burfi,2025-02-11,18:53:09,Evening,251.83,Malleswaram
TXN100312,Chiroti,2024-11-09,15:48:47,Afternoon,276.14,RR Nagar
TXN100313,Jalebi,2024-08-15,08:00:56,Morning,570.49,Jayanagar
TXN100314,Gulab Jamun,2024-06-29,21:29:21,Evening,104.75,Electronic City
TXN100315,Laddoo (Boondi),2024-12-29,09:56:18,Morning,436.28,RR Nagar
TXN100316,Jalebi,2024-03-06,13:20:41,Afternoon,731.55,Jayanagar
TXN100317,Mysore Pak,2025-01-05,22:15:25,Night,294.53,Indiranagar
TXN100318,Pista Roll,2025-05-06,09:46:02,Morning,564.17,Indiranagar
TXN100319,Jalebi,2024-09-12,16:38:27,Afternoon,288.01,Jayanagar
TXN100320,Milk Burfi,2024-07-03,11:46:57,Morning,576.18,HSR Layout
TXN100321,Halwa (Assorted),2024-02-01,19:09:15,Evening,1024.59,Vijayanagar
TXN100322,Gulab Jamun,2025-01-22,19:42:19,Evening,33.1,Jayanagar
TXN100323,Sohan Papdi,2024-12-19,14:34:37,Afternoon,777.94,HSR Layout
TXN100324,Kesar Peda,2025-07-13,14:10:16,Afternoon,1487.09,Basavanagudi
TXN100325,Gulab Jamun,2025-04-03,20:47:18,Evening,80.14,HSR Layout
