item_name,date,time,period,purchase_cost,branch_location
Laddoo (Boondi),2024-12-16,20:24:24,Evening,538.0,Basavanagudi
Mysore Pak,2025-02-01,18:01:46,Evening,299.43,Vijayanagar
Kaju Katli,2024-04-30,14:33:11,Afternoon,512.11,RR Nagar
Pista Roll,2025-01-07,11:14:04,Morning,1468.57,Koramangala
Dharwad Peda,2024-03-23,20:17:43,Evening,784.29,Electronic City
Kesar Peda,2024-02-23,20:21:10,Evening,1269.91,Electronic City
Chiroti,2025-02-07,15:53:46,Afternoon,167.24,Electronic City
Dharwad Peda,2024-02-23,09:19:31,Morning,1043.2,Koramangala
Gulab Jamun,2024-02-01,16:47:11,Afternoon,40.62,Vijayanagar
Jalebi,2024-01-24,22:36:49,Night,597.49,Electronic City
Laddoo (Boondi),2025-04-11,10:28:49,Morning,867.31,Vijayanagar
Kaju Katli,2024-09-16,19:06:11,Evening,1383.55,Basavanagudi
Badam Milk,2024-11-15,11:15:23,Morning,238.91,RR Nagar
Badam Milk,2024-10-11,15:00:06,Afternoon,200.43,Jayanagar
Samosa,2024-12-06,17:06:50,Evening,22.0,Malleswaram
Chiroti,2025-03-21,18:16:08,Evening,159.67,RR Nagar
Chiroti,2024-04-19,08:12:18,Morning,364.97,Basavanagudi
Halwa (Assorted),2024-08-12,11:27:31,Morning,215.81,HSR Layout
Mysore Pak,2024-11-27,15:43:36,Afternoon,873.89,Malleswaram
Sohan Papdi,2024-04-18,20:09:12,Evening,451.55,Koramangala
Mysore Pak,2024-01-21,22:50:06,Night,609.14,Indiranagar
Mysore Pak,2024-09-26,09:51:48,Morning,330.5,Indiranagar
Chiroti,2024-03-09,12:19:49,Afternoon,113.47,RR Nagar
Pista Roll,2024-07-25,22:34:45,Night,1031.1,RR Nagar
Kaju Katli,2024-08-20,09:10:12,Morning,807.76,Koramangala
Mysore Pak,2024-03-22,09:52:45,Morning,254.66,Malleswaram
Kaju Katli,2024-03-09,10:38:08,Morning,401.17,Malleswaram
Mysore Pak,2024-08-28,22:57:09,Night,497.71,HSR Layout
Milk Burfi,2025-07-11,13:26:29,Afternoon,562.02,Indiranagar
Badam Milk,2024-03-23,15:16:10,Afternoon,168.68,Electronic City
Laddoo (Boondi),2024-06-26,18:20:39,Evening,183.42,Vijayanagar
Samosa,2025-06-22,16:54:41,Afternoon,58.19,Indiranagar
Sohan Papdi,2024-03-11,18:38:17,Evening,286.39,Jayanagar
Chiroti,2025-01-05,19:26:10,Evening,119.35,RR Nagar
Halwa (Assorted),2024-05-22,12:46:03,Afternoon,214.69,Indiranagar
Halwa (Assorted),2024-01-28,10:22:06,Morning,321.35,Malleswaram
Samosa,2024-01-24,19:46:08,Evening,39.1,Electronic City
Mysore Pak,2024-01-24,22:11:23,Night,1185.84,Malleswaram
Milk Burfi,2024-05-19,10:44:35,Morning,207.32,Malleswaram
Samosa,2024-03-14,14:58:16,Afternoon,41.68,RR Nagar
Rasgulla,2024-09-21,17:35:46,Evening,33.27,Indiranagar
Laddoo (Boondi),2025-05-10,19:26:42,Evening,220.34,HSR Layout
Milk Burfi,2024-09-22,19:39:07,Evening,997.4,RR Nagar
Sohan Papdi,2024-07-25,17:57:00,Evening,438.61,Jayanagar
Rasgulla,2024-04-18,17:34:33,Evening,27.81,RR Nagar
Gulab Jamun,2024-08-16,15:15:43,Afternoon,117.76,Vijayanagar
Kaju Katli,2025-04-15,21:17:00,Evening,1367.32,Jayanagar
Dharwad Peda,2024-12-07,12:01:57,Afternoon,721.29,Basavanagudi
Chiroti,2024-11-12,16:44:41,Afternoon,200.71,Jayanagar
Kesar Peda,2025-03-09,21:49:23,Evening,672.1,Basavanagudi
Pista Roll,2025-02-20,12:22:38,Afternoon,676.16,RR Nagar
Milk Burfi,2024-05-06,08:21:39,Morning,346.83,Jayanagar
Laddoo (Boondi),2024-02-16,21:04:01,Evening,577.17,Malleswaram
Pista Roll,2025-01-14,13:12:54,Afternoon,1001.92,Koramangala
Gulab Jamun,2025-02-03,21:06:44,Evening,105.84,Koramangala
Gulab Jamun,2025-01-15,13:26:57,Afternoon,137.59,RR Nagar
Samosa,2024-07-05,17:54:07,Evening,89.27,Malleswaram
Laddoo (Boondi),2024-04-01,22:27:05,Night,703.33,Vijayanagar
Mysore Pak,2024-06-12,15:07:15,Afternoon,976.82,RR Nagar
Kaju Katli,2025-02-07,14:03:39,Afternoon,482.89,Electronic City
Kesar Peda,2024-11-19,19:54:47,Evening,1067.86,Koramangala
Pista Roll,2025-05-27,18:30:19,Evening,1613.42,HSR Layout
Rasgulla,2024-09-30,22:03:21,Night,58.19,Indiranagar
Samosa,2024-08-26,09:15:56,Morning,33.45,Jayanagar
Jalebi,2024-03-30,08:39:36,Morning,329.61,Basavanagudi
Dharwad Peda,2024-11-19,21:36:32,Evening,1094.25,Jayanagar
Sohan Papdi,2024-12-01,11:53:46,Morning,822.5,Jayanagar
Kesar Peda,2024-04-03,22:13:42,Night,326.18,Vijayanagar
Kaju Katli,2025-06-28,17:39:51,Evening,1178.77,Malleswaram
Dharwad Peda,2024-05-20,17:02:27,Evening,959.53,Malleswaram
Pista Roll,2024-09-11,09:59:37,Morning,690.56,Basavanagudi
Samosa,2024-03-21,15:43:42,Afternoon,49.96,Koramangala
Laddoo (Boondi),2025-06-13,22:00:01,Night,763.86,Jayanagar
Sohan Papdi,2024-05-11,08:03:38,Morning,696.97,Jayanagar
Rasgulla,2025-03-06,12:23:41,Afternoon,49.09,Jayanagar
Gulab Jamun,2024-03-27,18:49:43,Evening,137.61,Koramangala
Halwa (Assorted),2024-11-11,12:47:11,Afternoon,821.29,Indiranagar
Jalebi,2025-01-06,16:18:52,Afternoon,320.31,HSR Layout
Rasgulla,2024-10-12,21:09:39,Evening,110.96,RR Nagar
Milk Burfi,2024-10-09,21:28:50,Evening,569.42,Vijayanagar
Kaju Katli,2025-05-18,19:34:57,Evening,1325.72,Malleswaram
Sohan Papdi,2024-04-23,15:22:10,Afternoon,489.28,HSR Layout
Samosa,2024-11-21,21:39:54,Evening,78.69,Basavanagudi
Kesar Peda,2024-01-16,20:37:20,Evening,1114.37,Electronic City
Kesar Peda,2025-04-07,17:52:57,Evening,1022.48,Koramangala
Dharwad Peda,2024-08-08,15:21:10,Afternoon,1107.48,Jayanagar
Sohan Papdi,2024-09-10,19:29:08,Evening,294.2,Jayanagar
Sohan Papdi,2024-07-01,16:36:07,Afternoon,157.7,Electronic City
Kesar Peda,2025-04-13,11:58:09,Morning,518.8,HSR Layout
Chiroti,2025-03-29,13:21:22,Afternoon,271.54,Basavanagudi
Dharwad Peda,2024-04-25,13:05:49,Afternoon,368.63,Koramangala
Chiroti,2024-08-31,09:10:24,Morning,385.32,Koramangala
Gulab Jamun,2025-07-07,09:33:29,Morning,148.17,Koramangala
Pista Roll,2024-09-18,14:53:13,Afternoon,2191.7,Basavanagudi
Halwa (Assorted),2024-11-19,14:47:53,Afternoon,809.1,Malleswaram
Rasgulla,2024-11-08,19:30:42,Evening,147.5,Vijayanagar
Samosa,2025-04-26,17:26:35,Evening,51.9,Vijayanagar
Pista Roll,2024-04-10,21:48:23,Evening,1256.56,RR Nagar
Badam Milk,2025-04-08,16:16:58,Afternoon,42.28,Koramangala
Kaju Katli,2024-08-28,12:08:23,Afternoon,849.06,Jayanagar
Halwa (Assorted),2024-12-28,19:58:54,Evening,780.73,Jayanagar
Sohan Papdi,2024-03-17,12:24:10,Afternoon,421.24,Vijayanagar
Milk Burfi,2024-11-29,15:06:46,Afternoon,438.38,Vijayanagar
Kaju Katli,2024-05-11,14:34:48,Afternoon,2212.4,Electronic City
Chiroti,2025-03-02,11:50:33,Morning,183.94,RR Nagar
Dharwad Peda,2024-03-03,09:29:24,Morning,501.79,RR Nagar
Samosa,2024-04-08,14:52:41,Afternoon,22.03,Koramangala
Halwa (Assorted),2025-01-13,09:55:01,Morning,730.51,RR Nagar
Laddoo (Boondi),2025-05-03,18:24:29,Evening,647.96,Koramangala
Gulab Jamun,2024-05-07,12:56:05,Afternoon,80.04,HSR Layout
Dharwad Peda,2024-07-18,18:00:52,Evening,767.93,Koramangala
Laddoo (Boondi),2025-05-11,16:25:46,Afternoon,157.25,Malleswaram
Badam Milk,2025-01-22,16:49:15,Afternoon,123.77,Vijayanagar
Laddoo (Boondi),2024-11-07,16:41:54,Afternoon,747.9,RR Nagar
Kaju Katli,2025-03-01,16:38:12,Afternoon,548.92,Malleswaram
Halwa (Assorted),2024-07-04,11:37:32,Morning,274.77,Jayanagar
Halwa (Assorted),2024-12-27,21:36:18,Evening,653.04,Koramangala
Laddoo (Boondi),2025-01-24,16:28:00,Afternoon,201.94,Koramangala
Pista Roll,2024-11-16,20:12:12,Evening,2114.72,RR Nagar
Chiroti,2024-08-10,09:44:56,Morning,399.72,Jayanagar
Chiroti,2025-03-29,20:46:20,Evening,111.88,Indiranagar
Halwa (Assorted),2024-12-25,21:22:21,Evening,914.76,Koramangala
Badam Milk,2024-11-08,12:02:59,Afternoon,88.66,Vijayanagar
Dharwad Peda,2024-08-17,21:15:42,Evening,313.32,Basavanagudi
Laddoo (Boondi),2024-12-16,15:04:12,Afternoon,499.84,Malleswaram
Laddoo (Boondi),2024-04-24,09:50:00,Morning,345.46,RR Nagar
Pista Roll,2024-09-13,13:44:23,Afternoon,1732.47,HSR Layout
Milk Burfi,2024-10-22,08:42:19,Morning,731.5,RR Nagar
Samosa,2024-05-02,22:45:06,Night,43.82,Indiranagar
Kaju Katli,2024-06-14,12:36:34,Afternoon,1605.64,Vijayanagar
Pista Roll,2024-11-14,22:49:39,Night,2189.65,Basavanagudi
Mysore Pak,2024-01-16,10:03:40,Morning,662.87,HSR Layout
Badam Milk,2024-12-20,14:48:40,Afternoon,69.26,Jayanagar
Pista Roll,2024-05-08,12:04:17,Afternoon,1658.06,Vijayanagar
Milk Burfi,2024-05-17,14:37:19,Afternoon,955.24,Vijayanagar
Jalebi,2025-05-25,17:48:04,Evening,456.21,Basavanagudi
Pista Roll,2024-04-29,10:49:24,Morning,1370.82,Jayanagar
Sohan Papdi,2024-12-30,12:32:30,Afternoon,422.55,Basavanagudi
Kaju Katli,2024-03-16,08:36:36,Morning,1061.2,Electronic City
Halwa (Assorted),2024-01-28,17:34:49,Evening,886.98,HSR Layout
Halwa (Assorted),2024-06-20,11:38:15,Morning,311.3,Electronic City
Pista Roll,2024-05-15,10:32:03,Morning,1186.77,Malleswaram
Gulab Jamun,2024-11-13,21:17:23,Evening,72.25,Electronic City
Gulab Jamun,2025-05-19,13:54:03,Afternoon,90.58,Malleswaram
Milk Burfi,2024-12-30,15:05:29,Afternoon,763.49,RR Nagar
Kaju Katli,2024-07-22,13:32:07,Afternoon,859.98,Vijayanagar
Pista Roll,2024-07-22,08:04:32,Morning,1168.09,Indiranagar
Mysore Pak,2024-11-24,20:27:00,Evening,451.98,Vijayanagar
Rasgulla,2024-06-18,14:54:50,Afternoon,28.01,RR Nagar
Samosa,2025-03-11,17:08:23,Evening,63.39,Electronic City
Pista Roll,2024-05-25,14:16:33,Afternoon,2210.21,Jayanagar
Halwa (Assorted),2025-02-11,19:28:51,Evening,526.53,HSR Layout
Badam Milk,2024-05-01,12:29:46,Afternoon,156.93,HSR Layout
Pista Roll,2024-10-31,11:40:32,Morning,377.97,RR Nagar
Laddoo (Boondi),2024-01-20,13:26:24,Afternoon,368.87,Malleswaram
Samosa,2024-09-01,18:13:11,Evening,56.2,Vijayanagar
Kesar Peda,2025-07-04,11:49:58,Morning,793.54,HSR Layout
Badam Milk,2024-07-16,11:02:36,Morning,239.28,Jayanagar
Milk Burfi,2024-08-26,11:21:28,Morning,668.08,Vijayanagar
Milk Burfi,2025-06-05,16:06:27,Afternoon,1063.51,Vijayanagar
Rasgulla,2024-09-02,11:48:52,Morning,42.12,Vijayanagar
Halwa (Assorted),2024-05-11,16:47:25,Afternoon,990.06,Jayanagar
Gulab Jamun,2024-02-29,17:27:23,Evening,137.08,Indiranagar
Milk Burfi,2024-10-12,09:10:28,Morning,848.77,Vijayanagar
Sohan Papdi,2024-02-18,16:11:19,Afternoon,404.91,Koramangala
Badam Milk,2024-02-11,20:58:12,Evening,75.58,Vijayanagar
Badam Milk,2024-04-08,11:10:00,Morning,129.84,Koramangala
Laddoo (Boondi),2025-05-11,20:53:48,Evening,445.54,Electronic City
Chiroti,2024-07-15,13:36:28,Afternoon,405.94,Basavanagudi
Chiroti,2024-05-03,16:31:56,Afternoon,173.02,Malleswaram
Rasgulla,2024-03-09,16:52:53,Afternoon,56.5,RR Nagar
Chiroti,2025-01-23,09:56:36,Morning,96.57,RR Nagar
Kesar Peda,2024-02-10,20:30:16,Evening,1408.11,Jayanagar
Chiroti,2024-11-27,13:00:17,Afternoon,132.17,Indiranagar
Gulab Jamun,2025-02-12,10:19:33,Morning,85.38,Electronic City
Milk Burfi,2024-06-05,19:36:56,Evening,577.5,HSR Layout
Samosa,2025-06-13,16:18:33,Afternoon,38.25,Jayanagar
Dharwad Peda,2024-04-13,10:52:37,Morning,1184.68,Basavanagudi
Dharwad Peda,2024-01-25,09:16:01,Morning,1339.04,Indiranagar
Gulab Jamun,2024-05-13,22:10:03,Night,126.81,RR Nagar
Jalebi,2024-06-13,13:27:34,Afternoon,704.1,RR Nagar
Dharwad Peda,2025-03-08,13:42:10,Afternoon,454.39,Basavanagudi
Mysore Pak,2025-06-16,11:00:22,Morning,282.94,Malleswaram
Badam Milk,2024-04-08,16:44:52,Afternoon,151.73,Jayanagar
Pista Roll,2025-07-03,16:26:08,Afternoon,2031.28,Jayanagar
Chiroti,2025-01-26,08:02:55,Morning,187.42,Basavanagudi
Jalebi,2024-11-23,10:24:44,Morning,239.2,Electronic City
Badam Milk,2024-12-06,14:02:32,Afternoon,70.72,Malleswaram
Laddoo (Boondi),2024-02-26,14:32:15,Afternoon,171.5,RR Nagar
Halwa (Assorted),2024-04-20,13:35:54,Afternoon,336.83,Basavanagudi
Kesar Peda,2025-03-23,13:26:26,Afternoon,970.85,Electronic City
Kesar Peda,2024-07-27,14:14:25,Afternoon,1345.53,Koramangala
Pista Roll,2025-06-06,10:39:56,Morning,1534.87,Vijayanagar
Milk Burfi,2024-08-11,10:45:11,Morning,410.98,RR Nagar
Badam Milk,2025-03-23,20:43:14,Evening,239.87,Jayanagar
Pista Roll,2024-09-26,15:07:13,Afternoon,1778.81,Indiranagar
Jalebi,2024-11-23,09:45:11,Morning,743.05,Koramangala
Badam Milk,2025-02-06,18:00:29,Evening,180.1,HSR Layout
Mysore Pak,2024-06-05,21:32:22,Evening,1046.04,Jayanagar
Gulab Jamun,2024-12-07,18:57:39,Evening,66.26,Vijayanagar
Halwa (Assorted),2024-06-03,22:13:24,Night,522.62,Basavanagudi
Samosa,2024-05-05,16:09:26,Afternoon,58.37,Malleswaram
Rasgulla,2024-10-13,19:11:06,Evening,153.5,Vijayanagar
Chiroti,2024-10-19,16:18:08,Afternoon,311.59,RR Nagar
Gulab Jamun,2024-08-29,10:06:41,Morning,135.07,Koramangala
Badam Milk,2024-02-05,14:54:18,Afternoon,172.96,Electronic City
Chiroti,2025-05-18,18:10:24,Evening,245.03,HSR Layout
Jalebi,2025-03-14,08:21:27,Morning,625.88,Malleswaram
Gulab Jamun,2025-06-18,15:35:37,Afternoon,96.07,Vijayanagar
Sohan Papdi,2024-05-27,16:07:20,Afternoon,479.96,Jayanagar
Gulab Jamun,2024-04-14,10:37:42,Morning,125.92,RR Nagar
Sohan Papdi,2024-11-22,11:13:23,Morning,282.96,Malleswaram
Milk Burfi,2024-05-23,18:26:42,Evening,726.07,Koramangala
Milk Burfi,2025-05-23,12:55:14,Afternoon,285.39,Jayanagar
Badam Milk,2024-01-19,15:05:01,Afternoon,160.63,Koramangala
Dharwad Peda,2024-07-17,12:42:55,Afternoon,1286.09,HSR Layout
Gulab Jamun,2024-10-12,09:00:04,Morning,55.07,Malleswaram
Sohan Papdi,2024-06-10,19:03:19,Evening,676.14,Indiranagar
Kaju Katli,2024-10-19,17:24:45,Evening,2381.48,Electronic City
Kaju Katli,2024-06-10,22:42:22,Night,465.47,Indiranagar
Badam Milk,2025-03-26,13:18:12,Afternoon,91.95,Vijayanagar
Gulab Jamun,2024-07-12,14:38:20,Afternoon,83.78,Basavanagudi
Chiroti,2024-03-24,14:28:19,Afternoon,260.87,Indiranagar
Jalebi,2024-01-26,12:24:54,Afternoon,623.1,Basavanagudi
Pista Roll,2025-06-16,11:58:47,Morning,2017.71,Koramangala
Dharwad Peda,2025-01-16,08:52:44,Morning,279.46,RR Nagar
Chiroti,2025-04-27,19:51:56,Evening,160.39,Malleswaram
Dharwad Peda,2024-09-17,17:34:26,Evening,396.75,Jayanagar
Mysore Pak,2024-01-31,22:20:16,Night,242.03,Electronic City
Jalebi,2024-04-17,17:47:07,Evening,141.86,Malleswaram
Badam Milk,2024-03-29,12:28:47,Afternoon,171.29,HSR Layout
Kesar Peda,2024-04-12,19:30:21,Evening,509.95,Vijayanagar
Samosa,2024-08-08,19:28:15,Evening,28.45,RR Nagar
Pista Roll,2025-05-25,12:54:14,Afternoon,810.72,HSR Layout
Samosa,2024-03-15,18:58:08,Evening,64.71,Koramangala
Samosa,2025-05-09,15:21:10,Afternoon,70.23,Jayanagar
Pista Roll,2024-10-18,17:43:20,Evening,938.05,Malleswaram
Sohan Papdi,2024-08-22,10:29:31,Morning,751.6,Malleswaram
Sohan Papdi,2024-06-02,13:32:19,Afternoon,652.51,Jayanagar
Kaju Katli,2024-03-23,15:27:46,Afternoon,877.34,Jayanagar
Badam Milk,2024-03-29,11:58:58,Morning,191.4,Koramangala
Gulab Jamun,2024-12-02,15:03:14,Afternoon,62.85,Basavanagudi
Rasgulla,2024-08-03,12:39:19,Afternoon,33.09,Basavanagudi
Halwa (Assorted),2024-07-21,08:52:27,Morning,978.5,Electronic City
Halwa (Assorted),2025-02-26,10:09:20,Morning,892.16,Electronic City
Kesar Peda,2024-09-07,14:51:09,Afternoon,562.65,Basavanagudi
Samosa,2024-09-07,12:06:33,Afternoon,50.77,Malleswaram
Laddoo (Boondi),2024-03-09,18:10:30,Evening,221.7,HSR Layout
Rasgulla,2025-05-08,17:35:53,Evening,93.25,Indiranagar
Milk Burfi,2025-02-20,16:19:23,Afternoon,1101.03,Koramangala
Milk Burfi,2024-09-21,12:39:34,Afternoon,546.46,Malleswaram
Badam Milk,2025-01-07,08:35:15,Morning,222.69,Malleswaram
Chiroti,2025-07-11,13:41:21,Afternoon,119.31,Jayanagar
Samosa,2024-06-24,15:45:26,Afternoon,51.84,Indiranagar
Laddoo (Boondi),2024-08-13,19:45:17,Evening,205.32,Malleswaram
Pista Roll,2025-06-27,12:30:42,Afternoon,884.93,RR Nagar
Gulab Jamun,2025-01-19,21:39:10,Evening,31.03,RR Nagar
Halwa (Assorted),2025-04-13,18:56:54,Evening,886.86,Malleswaram
Rasgulla,2024-02-09,10:07:37,Morning,116.45,Koramangala
Pista Roll,2024-08-13,18:37:21,Evening,1633.56,Electronic City
Halwa (Assorted),2024-07-13,18:33:30,Evening,498.67,Vijayanagar
Badam Milk,2024-06-30,15:29:31,Afternoon,201.24,Electronic City
Mysore Pak,2024-01-20,08:01:12,Morning,1072.92,Koramangala
Chiroti,2024-12-18,08:32:26,Morning,396.52,Electronic City
Laddoo (Boondi),2025-02-03,09:23:52,Morning,561.8,Malleswaram
Dharwad Peda,2024-02-05,22:09:53,Night,587.66,Malleswaram
Samosa,2024-11-21,08:44:40,Morning,24.78,Basavanagudi
Kesar Peda,2024-01-27,10:41:58,Morning,896.37,Koramangala
Mysore Pak,2025-02-04,19:18:36,Evening,621.51,Jayanagar
Milk Burfi,2025-02-11,18:53:09,Evening,251.83,Malleswaram
Chiroti,2024-11-09,15:48:47,Afternoon,276.14,RR Nagar
Jalebi,2024-08-15,08:00:56,Morning,570.49,Jayanagar
Gulab Jamun,2024-06-29,21:29:21,Evening,104.75,Electronic City
Laddoo (Boondi),2024-12-29,09:56:18,Morning,436.28,RR Nagar
Jalebi,2024-03-06,13:20:41,Afternoon,731.55,Jayanagar
Mysore Pak,2025-01-05,22:15:25,Night,294.53,Indiranagar
Pista Roll,2025-05-06,09:46:02,Morning,564.17,Indiranagar
Jalebi,2024-09-12,16:38:27,Afternoon,288.01,Jayanagar
Milk Burfi,2024-07-03,11:46:57,Morning,576.18,HSR Layout
Halwa (Assorted),2024-02-01,19:09:15,Evening,1024.59,Vijayanagar
Gulab Jamun,2025-01-22,19:42:19,Evening,33.1,Jayanagar
Sohan Papdi,2024-12-19,14:34:37,Afternoon,777.94,HSR Layout
Kesar Peda,2025-07-13,14:10:16,Afternoon,1487.09,Basavanagudi
Gulab Jamun,2025-04-03,20:47:18,Evening,80.14,HSR Layout
Badam Milk,2024-08-24,18:26:51,Evening,237.89,Electronic City
Kaju Katli,2024-01-31,12:30:25,Afternoon,2316.24,Indiranagar
Mysore Pak,2025-01-22,18:45:42,Evening,367.55,RR Nagar
Halwa (Assorted),2025-04-26,20:57:14,Evening,231.9,Indiranagar
Sohan Papdi,2025-07-10,18:52:15,Evening,367.21,Koramangala
Badam Milk,2024-12-10,16:50:11,Afternoon,85.74,RR Nagar
Chiroti,2024-04-29,21:01:24,Evening,156.72,HSR Layout
Laddoo (Boondi),2025-04-20,18:07:56,Evening,878.44,Jayanagar
Gulab Jamun,2024-01-18,10:23:10,Morning,83.57,HSR Layout
Laddoo (Boondi),2025-01-04,10:21:36,Morning,706.9,HSR Layout
Dharwad Peda,2025-01-23,22:43:54,Night,307.87,Vijayanagar
Badam Milk,2025-02-16,09:52:22,Morning,143.21,Indiranagar
Sohan Papdi,2025-01-08,16:20:57,Afternoon,763.95,RR Nagar
Mysore Pak,2024-11-12,22:31:30,Night,344.3,Basavanagudi
Dharwad Peda,2024-11-17,22:38:37,Night,527.97,Indiranagar
Mysore Pak,2025-04-21,22:35:46,Night,1026.4,Jayanagar
Mysore Pak,2025-05-01,09:19:39,Morning,544.94,Jayanagar
Kesar Peda,2024-05-24,08:38:31,Morning,554.37,HSR Layout
Kesar Peda,2024-02-02,12:14:06,Afternoon,819.31,Jayanagar
Dharwad Peda,2024-08-05,20:23:20,Evening,563.05,Jayanagar
Milk Burfi,2024-05-27,10:59:21,Morning,750.17,Jayanagar
Pista Roll,2024-09-22,19:36:15,Evening,1907.85,Jayanagar
Milk Burfi,2025-01-31,21:42:01,Evening,887.81,Malleswaram
Gulab Jamun,2024-02-13,21:06:39,Evening,123.23,Jayanagar
Sohan Papdi,2025-04-30,16:28:38,Afternoon,292.99,Koramangala
Sohan Papdi,2025-01-24,13:38:27,Afternoon,562.73,Jayanagar
Dharwad Peda,2024-01-24,15:40:55,Afternoon,1283.8,Indiranagar
Pista Roll,2024-06-16,22:09:34,Night,907.15,Vijayanagar
Pista Roll,2024-08-22,22:40:38,Night,1951.74,Indiranagar
Gulab Jamun,2024-11-09,15:51:11,Afternoon,50.88,Vijayanagar
Rasgulla,2024-06-09,20:32:44,Evening,58.25,Basavanagudi
Rasgulla,2024-04-15,18:13:15,Evening,150.81,Basavanagudi
Halwa (Assorted),2024-05-02,16:10:41,Afternoon,853.18,Vijayanagar
Samosa,2024-08-02,15:39:56,Afternoon,77.44,Electronic City
Laddoo (Boondi),2024-10-15,14:34:35,Afternoon,224.34,Koramangala
Halwa (Assorted),2024-04-15,22:23:06,Night,446.78,HSR Layout
Laddoo (Boondi),2025-04-16,21:44:07,Evening,422.3,HSR Layout
Chiroti,2025-02-25,20:33:18,Evening,341.64,Jayanagar
Pista Roll,2024-07-14,21:28:27,Evening,1099.77,Koramangala
Gulab Jamun,2025-03-09,12:00:08,Afternoon,110.55,Basavanagudi
Jalebi,2025-03-23,11:04:57,Morning,337.05,RR Nagar
Laddoo (Boondi),2024-02-08,13:01:16,Afternoon,167.34,Koramangala
Kaju Katli,2024-11-21,13:34:38,Afternoon,2227.93,Koramangala
Kesar Peda,2025-05-05,14:46:01,Afternoon,998.82,HSR Layout
Kaju Katli,2024-10-19,20:25:30,Evening,875.49,Vijayanagar
Laddoo (Boondi),2024-11-12,09:31:27,Morning,507.9,Jayanagar
Gulab Jamun,2025-05-05,10:51:15,Morning,29.03,Jayanagar
Kesar Peda,2025-03-24,16:55:32,Afternoon,1383.87,Jayanagar
Dharwad Peda,2024-09-08,21:04:12,Evening,987.9,Malleswaram
Samosa,2025-06-05,12:39:11,Afternoon,60.99,Vijayanagar
Kaju Katli,2024-09-29,10:36:01,Morning,1917.37,HSR Layout
Sohan Papdi,2025-01-19,18:31:56,Evening,651.87,Koramangala
Gulab Jamun,2024-09-11,08:23:10,Morning,28.48,Jayanagar
